Date,Company ID,Revenue ($),Expense ($),Profit ($),Market Price ($),Volatility Index,Compliance Issue,Compliance Fine ($),Regulatory Change
2023-01-01,COMP_1,193524.66,380532.15,-187007.49000000002,95.88,0.58,0,0.0,0
2023-01-02,COMP_1,38460.97,347139.58,-308678.61,84.1,0.67,0,0.0,0
2023-01-03,COMP_1,417896.89,88873.95,329022.94,46.36,0.25,0,0.0,0
2023-01-04,COMP_1,221653.06,120035.51,101617.55,85.07,0.21,0,0.0,0
2023-01-05,COMP_1,233474.29,315144.5,-81670.20999999999,47.97,0.51,0,0.0,0
2023-01-06,COMP_1,307696.98,72357.03,235339.94999999998,35.85,0.86,1,0.0,0
2023-01-07,COMP_1,159260.75,43580.49,115680.26000000001,91.58,0.45,0,0.0,0
2023-01-08,COMP_1,26850.38,364181.56,-337331.18,53.29,0.63,0,0.0,0
2023-01-09,COMP_1,277888.04,78017.51,199870.52999999997,117.26,0.72,1,0.0,0
2023-01-10,COMP_1,302970.99,369140.32,-66169.33000000002,37.96,0.26,0,0.0,0
2023-01-11,COMP_1,200451.87,112182.87,88269.0,104.59,0.39,0,0.0,0
2023-01-12,COMP_1,79052.87,321867.81,-242814.94,36.71,0.89,0,0.0,0
2023-01-13,COMP_1,12705.84,327107.26,-314401.42,93.62,0.68,0,0.0,0
2023-01-14,COMP_1,185648.21,50768.28,134879.93,107.68,0.6,0,0.0,0
2023-01-15,COMP_1,162381.34,133447.41,28933.929999999993,95.66,0.61,0,0.0,0
2023-01-16,COMP_1,68601.18,286731.69,-218130.51,98.47,0.55,0,0.0,0
2023-01-17,COMP_1,266139.09,173878.7,92260.39000000001,32.29,0.19,0,0.0,0
2023-01-18,COMP_1,164034.43,205885.42,-41850.99000000002,111.68,0.3,0,0.0,0
2023-01-19,COMP_1,122111.1,35407.06,86704.04000000001,56.08,0.23,1,0.0,0
2023-01-20,COMP_1,320367.84,349226.93,-28859.089999999967,102.33,0.25,0,0.0,0
2023-01-21,COMP_1,405645.68,358956.06,46689.619999999995,58.62,0.19,0,0.0,0
2023-01-22,COMP_1,410827.24,344988.58,65838.65999999997,30.63,0.51,0,0.0,0
2023-01-23,COMP_1,68734.03,138357.99,-69623.95999999999,114.86,0.36,0,0.0,0
2023-01-24,COMP_1,188178.51,388853.92,-200675.40999999997,116.62,0.3,0,0.0,0
2023-01-25,COMP_1,149571.84,19570.34,130001.5,84.86,0.5,0,0.0,0
2023-01-26,COMP_1,455050.28,99626.95,355423.33,43.04,0.49,1,0.0,0
2023-01-27,COMP_1,339346.42,305839.75,33506.669999999984,51.39,0.68,0,0.0,0
2023-01-28,COMP_1,320429.56,216631.0,103798.56,38.13,0.77,0,0.0,0
2023-01-29,COMP_1,29979.82,238402.71,-208422.88999999998,90.98,0.11,0,0.0,0
2023-01-30,COMP_1,326134.67,73874.74,252259.93,92.18,0.41,1,0.0,0
2023-01-31,COMP_1,177122.51,49822.04,127300.47,113.22,0.8,0,0.0,0
2023-02-01,COMP_1,410438.88,224304.32,186134.56,77.67,0.29,0,0.0,0
2023-02-02,COMP_1,451204.85,255075.08,196129.77,60.51,0.38,0,0.0,0
2023-02-03,COMP_1,444672.35,313050.84,131621.50999999995,87.78,0.17,0,0.0,0
2023-02-04,COMP_1,307150.24,8632.84,298517.39999999997,39.13,0.63,0,0.0,0
2023-02-05,COMP_1,278879.56,278298.6,580.960000000021,88.68,0.28,0,0.0,0
2023-02-06,COMP_1,169445.85,299864.11,-130418.25999999998,88.47,0.78,0,0.0,0
2023-02-07,COMP_1,55900.64,150247.74,-94347.09999999999,53.87,0.3,1,0.0,0
2023-02-08,COMP_1,447102.81,254299.76,192803.05,101.53,0.5,0,0.0,0
2023-02-09,COMP_1,105669.06,290368.59,-184699.53000000003,55.27,0.12,0,0.0,0
2023-02-10,COMP_1,470824.71,381801.79,89022.92000000004,112.34,0.4,0,0.0,0
2023-02-11,COMP_1,219810.23,386828.65,-167018.42,116.73,0.78,0,0.0,0
2023-02-12,COMP_1,427056.97,130184.19,296872.77999999997,45.25,0.55,1,7264.27,0
2023-02-13,COMP_1,57616.48,247927.85,-190311.37,119.1,0.21,0,0.0,0
2023-02-14,COMP_1,372976.62,280321.22,92655.40000000002,93.22,0.39,0,0.0,0
2023-02-15,COMP_1,406955.56,347493.57,59461.98999999999,112.19,0.51,0,0.0,0
2023-02-16,COMP_1,328482.33,282276.92,46205.41000000003,101.62,0.81,0,0.0,0
2023-02-17,COMP_1,56051.15,233420.66,-177369.51,33.23,0.47,0,0.0,0
2023-02-18,COMP_1,299508.3,17047.6,282460.7,33.36,0.76,0,0.0,0
2023-02-19,COMP_1,265899.2,309147.45,-43248.25,49.42,0.6,0,0.0,0
2023-02-20,COMP_1,270363.77,218550.87,51812.90000000002,87.37,0.68,1,0.0,0
2023-02-21,COMP_1,168248.67,319098.55,-150849.87999999998,54.37,0.45,0,0.0,0
2023-02-22,COMP_1,481697.72,335212.15,146485.56999999995,92.64,0.43,0,0.0,0
2023-02-23,COMP_1,132619.02,221944.53,-89325.51000000001,94.31,0.63,0,0.0,0
2023-02-24,COMP_1,371569.49,223969.85,147599.63999999998,85.05,0.44,0,0.0,0
2023-02-25,COMP_1,381344.59,10685.43,370659.16000000003,40.45,0.14,0,0.0,0
2023-02-26,COMP_1,354792.35,192298.66,162493.68999999997,38.81,0.49,0,0.0,0
2023-02-27,COMP_1,222587.31,162409.37,60177.94,85.43,0.61,0,0.0,0
2023-02-28,COMP_1,316671.36,203738.82,112932.53999999998,107.08,0.63,0,0.0,0
2023-03-01,COMP_1,324785.45,15471.97,309313.48000000004,82.72,0.85,0,0.0,0
